Date,Open,High,Low,Close,Adj Close,Volume
2003-02-01,33.330002,39.990002,32.650002,36.599998,36.599998,1766013
2003-03-01,35.849998,37.950001,26.299999,31.040001,31.040001,1693911
2003-04-01,30.400000,31.500000,25.040001,25.799999,25.799999,1516421
2003-05-01,26.000000,29.650000,25.230000,29.559999,29.559999,1669673
2003-06-01,29.490000,32.500000,28.530001,30.190001,30.190001,1584286
2003-07-01,30.120001,32.049999,29.170000,30.540001,30.540001,1606181
2003-08-01,30.799999,32.849998,30.100000,31.570000,31.570000,1784765
2003-09-01,31.280001,31.400000,26.650000,29.200001,29.200001,1683600
2003-10-01,29.049999,32.599998,28.260000,29.110001,29.110001,1779100
2003-11-01,29.230000,33.549999,28.469999,30.410000,30.410000,1632868
2003-12-01,30.260000,33.930000,29.660000,32.520000,32.520000,1599008
2004-01-01,32.400002,36.369999,32.270000,33.049999,33.049999,1903087
2004-02-01,33.200001,36.250000,32.200001,36.160000,36.160000,1697053
2004-03-01,36.160000,38.500000,34.750000,35.759998,35.759998,2041599
2004-04-01,35.820000,38.299999,33.299999,37.380001,37.380001,2019727
2004-05-01,37.389999,41.849998,37.250000,39.880001,39.880001,1949567
2004-06-01,40.400002,42.450001,35.520000,37.049999,37.049999,2004205
2004-07-01,37.049999,43.849998,36.689999,43.799999,43.799999,1820316
2004-08-01,43.689999,49.400002,41.299999,42.119999,42.119999,2289972
2004-09-01,42.110001,50.470001,42.110001,49.639999,49.639999,2097767
2004-10-01,49.639999,55.669998,49.200001,51.759998,51.759998,2157611
2004-11-01,51.820000,52.500000,45.250000,49.130001,49.130001,1920477
2004-12-01,49.070000,49.119999,40.250000,43.450001,43.450001,1899663
2005-01-01,43.099998,49.750000,41.250000,48.200001,48.200001,1968166
2005-02-01,48.209999,52.279999,44.599998,51.750000,51.750000,1686561
2005-03-01,51.770000,57.599998,50.650002,55.400002,55.400002,2181030
2005-04-01,55.200001,58.279999,49.500000,49.720001,49.720001,2196698
2005-05-01,49.279999,53.099998,46.200001,51.970001,51.970001,2130537
2005-06-01,51.950001,60.950001,51.930000,56.500000,56.500000,2242541
2005-07-01,56.599998,62.099998,56.099998,60.570000,60.570000,2135377
2005-08-01,60.509998,70.849998,60.509998,68.940002,68.940002,2488887
2005-09-01,68.699997,69.660004,62.549999,66.239998,66.239998,2269251
2005-10-01,66.199997,66.620003,59.150002,59.759998,59.759998,2023131
2005-11-01,59.759998,62.150002,55.400002,57.320000,57.320000,1971974
2005-12-01,57.430000,61.900002,56.900002,61.040001,61.040001,1891467
2006-01-01,61.040001,69.199997,60.810001,67.919998,67.919998,2257664
2006-02-01,67.730003,69.000000,57.500000,61.410000,61.410000,2326517
2006-03-01,61.580002,67.300003,59.250000,66.629997,66.629997,2386391
2006-04-01,66.250000,75.349998,65.599998,71.879997,71.879997,2170291
2006-05-01,71.750000,74.989998,67.419998,71.290001,71.290001,2533163
2006-06-01,71.260002,74.150002,68.099998,73.980003,73.980003,2237163
2006-07-01,73.949997,78.400002,71.650002,74.400002,74.400002,1871824
2006-08-01,74.400002,77.449997,68.650002,70.260002,70.260002,2089659
2006-09-01,70.349998,70.400002,59.520000,62.910000,62.910000,2605508
2006-10-01,62.799999,63.320000,56.549999,58.730000,58.730000,3473023
2006-11-01,58.599998,63.799999,54.860001,63.130001,63.130001,3672965
2006-12-01,62.849998,64.150002,59.900002,61.049999,61.049999,3343134
2007-01-01,60.980000,61.549999,49.900002,58.139999,58.139999,5193859
2007-02-01,57.889999,62.250000,56.619999,61.790001,61.790001,5154484
2007-03-01,61.820000,68.089996,56.099998,65.870003,65.870003,4948480
2007-04-01,65.699997,66.699997,61.340000,65.709999,65.709999,4252646
2007-05-01,65.660004,66.379997,60.680000,64.010002,64.010002,4884743
2007-06-01,64.230003,71.059998,63.799999,70.680000,70.680000,4625026
2007-07-01,70.519997,78.279999,69.570000,78.209999,78.209999,4601264
2007-08-01,77.940002,78.769997,68.629997,74.040001,74.040001,5184742
2007-09-01,73.900002,83.900002,73.480003,81.660004,81.660004,5103484
2007-10-01,81.750000,95.279999,78.349998,94.529999,94.529999,6263924
2007-11-01,95.150002,99.290001,88.449997,88.709999,88.709999,6632640
2007-12-01,88.790001,97.919998,85.820000,95.980003,95.980003,4496780
2008-01-01,96.050003,100.089996,86.110001,91.750000,91.750000,5744195
2008-02-01,91.360001,103.050003,86.239998,101.839996,101.839996,5352385
2008-03-01,101.629997,111.800003,98.650002,101.580002,101.580002,6349475
2008-04-01,101.570000,119.930000,99.550003,113.459999,113.459999,5854686
2008-05-01,114.599998,135.089996,110.300003,127.349998,127.349998,7054428
2008-06-01,127.629997,143.669998,121.610001,140.000000,140.000000,6474258
